          ISAJET PARTICLES, M(Y) =     0.000  M(X) =     0.000

     ID    PARTICLE        MASS    CHARGE    ---FLAVOR---    SPIN    INDEX
    -87    H2-         0.000000     -1.00       0   0   0       0       69
     88    H1++        0.000000      2.00       0   0   0       0       70
    -88    H1--        0.000000     -2.00       0   0   0       0       70
     89    H2++        0.000000      2.00       0   0   0       0       71
    -89    H2--        0.000000     -2.00       0   0   0       0       71
     90    Z0         91.190002      0.00       0   0   0       0       72
     91    GVSS        0.000000      0.00       0   0   0       0       73
     92    GRAV        0.000000      0.00       0   0   0       0       74
    110    PI0         0.134960      0.00       0   1  -1       0       75
    111    RHO0        0.768100      0.00       0   1  -1       1      111
    112    F2          1.275000      0.00       0   1  -1       2      410
    120    PI+         0.139570      1.00       0   1  -2       0       76
   -120    PI-         0.139570     -1.00       0  -1   2       0       76
    121    RHO+        0.768100      1.00       0   1  -2       1      112
   -121    RHO-        0.768100     -1.00       0  -1   2       1      112
    130    K+          0.493670      1.00       0   1  -3       0       78
   -130    K-          0.493670     -1.00       0  -1   3       0       78
    131    K*+         0.891590      1.00       0   1  -3       1      114
   -131    K*-         0.891590     -1.00       0  -1   3       1      114
    132    K2*+        1.425400      1.00       0   1  -3       2      407
   -132    K2*-        1.425400     -1.00       0  -1   3       2      407
    140    AD0         1.864500      0.00       0   1  -4       0       81
   -140    D0          1.864500      0.00       0  -1   4       0       81
    141    AD*0        2.007100      0.00       0   1  -4       1      117
   -141    D*0         2.007100      0.00       0  -1   4       1      117
    150    B+          5.278600      1.00       0   1  -5       0       85
   -150    B-          5.278600     -1.00       0  -1   5       0       85
    151    B*+         5.324600      1.00       0   1  -5       1      121
   -151    B*-         5.324600     -1.00       0  -1   5       1      121
    160    UT.       175.270004      0.00       0   1  -6       0       90
   -160    TU.       175.270004      0.00       0  -1   6       0       90
    161    UT*       175.309998      0.00       0   1  -6       1      126
   -161    TU*       175.309998      0.00       0  -1   6       1      126
    170    UY.         0.270000      1.00       0   1  -7       0       96
   -170    YU.         0.270000     -1.00       0  -1   7       0       96
    171    UY*         0.310000      1.00       0   1  -7       1      132
   -171    YU*         0.310000     -1.00       0  -1   7       1      132
    180    UX.         0.270000      0.00       0   1  -8       0      103
   -180    XU.         0.270000      0.00       0  -1   8       0      103
    181    UX*         0.310000      0.00       0   1  -8       1      139
   -181    XU*         0.310000      0.00       0  -1   8       1      139
    220    ETA         0.547450      0.00       0   2  -2       0       77
    221    OMEG        0.781950      0.00       0   2  -2       1      113
    230    K0          0.497670      0.00       0   2  -3       0       79
   -230    AK0         0.497670      0.00       0  -2   3       0       79
    231    K*0         0.896100      0.00       0   2  -3       1      115
   -231    AK*0        0.896100      0.00       0  -2   3       1      115
    232    K2*0        1.432400      0.00       0   2  -3       2      408
   -232    AK2*0       1.432400      0.00       0  -2   3       2      408
